ID,Title,Date,Date Posted,Company,Location,Zip Code,Salary,Employment Type,Qualification,Industry,Job description,Link,Source,Company2,Seniority,Function,cleaned job,extracted salary,extracted education,extracted qualification
,Remote Senior Software Engineer,1 day ago,05/25/2022,First American Financial Corporation,"Remote, US",,,,,,"Company Summary
Join a team that puts its People First! First American Docutech offers a wide range of document technology solutions for mortgage, home equity and consumer lending, including document generation, eDelivery, eSign and print fulfillment. Our efficient solutions enable lending professionals to produce accurate and compliant loan packages in all 50 states. Since 1889, First American (NYSE: FAF) has held an unwavering belief in its people. They are passionate about what they do, and we are equally passionate about fostering an environment where all feel welcome, supported, and empowered to be innovative and reach their full potential. Our inclusive, people-first culture has earned our company numerous accolades, including being named to the Fortune 100 Best Companies to Work For® list for six consecutive years. We have also earned awards as a best place to work for women, diversity and LGBTQ+ employees, and have been included on more than 50 regional best places to work lists. First American will always strive to be a great place to work, for all. For more information, please visit www.careers.firstam.com.
Job Summary
Participates in the design, development, coding, testing, debugging, and maintenance of software code for business applications.  Responsible for middle-tier implementation and integration with backend databases.  Works with technical staff to understand problems with software and develops specifications to resolve them.  Participates in the development of software user manuals.
***Open to Remote Candidates***'
Essential Functions
Full Stack application development experience - building software for our front-end technology platform used for Mortgage Document distribution, electronic signature and electronic closings. Users include consumers (borrowers) as well as settlement agent and lender employees. Experience within this domain or adjacent mortgage, financial services or fintech servicer provider environments is strongly encouraged.
Tests and delivers software on time.
Provides maintenance of developed software including regression testing and debugging.
Experience leading team of engineers in the design, development, and maintenance of software code for business applications.
Build test automation suites to ensure the quality of guest impacting products
Formulates and defines system scope and objectives for assigned projects.
Performs maintenance, installations, upgrades, and other technical duties associated with the support of product applications platforms and/or product systems platforms.
Responsible for top-tier implementation and integration with backend databases.
Formulate and define system scope and objectives through research and fact-finding to develop or modify internal business systems.
Required to perform duties outside of normal work hours based on business needs.
Required to perform duties outside of normal work hours based on business needs.

Knowledge and Skills/Technology Used
Fluent in .Net, SQL & C# experience
Experience with various computer platforms and application environments
Expertise with developing multiple tiers of multi-tiered software applications
Expertise in designing programs and applications
Experience designing application systems
Constantly updating personal technical and business knowledge and skills and mentoring others to increase the knowledge and skills of the team
Strong organizational or Project Management skills
Strong written and verbal communication skills

Typical Education
Bachelor's Degree or equivalent combination of education and experience

Typical Range of Experience
Typically 5-7 years of directly related experience
Previous supervisory experience is must
Experience working with distributed team is preferred
#techreferral
#LI-NM1
#DTECHIT
First American invests in its employees' development and well-being, empowers them to provide superior customer service and encourages them to serve the communities where they live and work. First American is committed to diversity and inclusion. We are an equal opportunity employer.
Based on eligibility, First American offers a comprehensive benefits package including medical, dental, vision, 401k, PTO/paid sick leave and other great benefits like an employee stock purchase plan.",https://www.monster.com/job-openings/remote-senior-software-engineer-austin-tx--4885ff91-c309-41df-9576-3de087adf712?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.29&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"company summary join a team that puts its people first! first american docutech offers a wide range of document technology solutions for mortgage, home equity and consumer lending, including document generation, edelivery, esign and print fulfillment. our efficient solutions enable lending professionals to produce accurate and compliant loan packages in all 50 states. since 1889, first american  has held an unwavering belief in its people. they are passionate about what they do, and we are equally passionate about fostering an environment where all feel welcome, supported, and empowered to be innovative and reach their full potential. our inclusive, people first culture has earned our company numerous accolades, including being named to the fortune 100 best companies to work for® list for six consecutive years. we have also earned awards as a best place to work for women, diversity and lgbtq+ employees, and have been included on more than 50 regional best places to work lists. first american will always strive to be a great place to work, for all. for more information, please visit www.careers.firstam.com. job summary participates in the design, development, coding, testing, debugging, and maintenance of software code for business applications.  responsible for middle tier implementation and integration with backend databases.  works with technical staff to understand problems with software and develops specifications to resolve them.  participates in the development of software user manuals. ***open to remote candidates***' essential functions full stack application development experience   building software for our front end technology platform used for mortgage document distribution, electronic signature and electronic closings. users include consumers  as well as settlement agent and lender employees. experience within this domain or adjacent mortgage, financial services or fintech servicer provider environments is strongly encouraged. tests and delivers software on time. provides maintenance of developed software including regression testing and debugging. experience leading team of engineers in the design, development, and maintenance of software code for business applications. build test automation suites to ensure the quality of guest impacting products formulates and defines system scope and objectives for assigned projects. performs maintenance, installations, upgrades, and other technical duties associated with the support of product applications platforms and/or product systems platforms. responsible for top tier implementation and integration with backend databases. formulate and define system scope and objectives through research and fact finding to develop or modify internal business systems. required to perform duties outside of normal work hours based on business needs. required to perform duties outside of normal work hours based on business needs.  knowledge and skills/technology used fluent in .net, sql & c# experience experience with various computer platforms and application environments expertise with developing multiple tiers of multi tiered software applications expertise in designing programs and applications experience designing application systems constantly updating personal technical and business knowledge and skills and mentoring others to increase the knowledge and skills of the team strong organizational or project management skills strong written and verbal communication skills  typical education bachelor degree or equivalent combination of education and experience  typical range of experience typically 5 7 years of directly related experience previous supervisory experience is must experience working with distributed team is preferred #techreferral #li nm1 #dtechit first american invests in its employees' development and well being, empowers them to provide superior customer service and encourages them to serve the communities where they live and work. first american is committed to diversity and inclusion. we are an equal opportunity employer. based on eligibility, first american offers a comprehensive benefits package including medical, dental, vision, 401k, pto/paid sick leave and other great benefits like an employee stock purchase plan.",[],"[""net, sql & c# experience experience with various computer platforms and application environments expertise with developing multiple tiers of multi tiered software applications expertise in designing programs and applications experience designing application systems constantly updating personal technical and business knowledge and skills and mentoring others to increase the knowledge and skills of the team strong organizational or project management skills strong written and verbal communication skills  typical education bachelor degree or equivalent combination of education and experience  typical range of experience typically 5 7 years of directly related experience previous supervisory experience is must experience working with distributed team is preferred #techreferral #li nm1 #dtechit first american invests in its employees' development and well being, empowers them to provide superior customer service and encourages them to serve the communities where they live and work.""]",[]
,Principal-Software Engineer,1 day ago,05/25/2022,DIRECTV,"Remote, US",,,,,,"At DIRECTV, we’re connecting the world through the latest tech, top-of-the-line communications and the best in entertainment. Innovation powers all that we do, and our groundbreaking solutions deliver compelling communication and entertainment experiences to millions of customers worldwide. As part of our team, your next big idea could be our newest innovation. Here’s your opportunity to combine your passions for entertainment, media and technology to transform our company and your career.
Responsible for the fundamental technology work of architecting/designing/building/supporting cross-platform client apps, their integration to high-performing backend services, including building platform and performance components, and awareness of the end-to-end solutions.
Makes high-level design choices, technical standards, tools, and platforms. Must have a strong understanding of systems engineering principles derived from experience.
Has strong background in application development (preferably both iOS and Android platforms) using native, C++, and JavaScript. Good have design and implementation knowledge of React Native based app development.
With a strong background in the integration with Restful back-end services, can make design decisions that help shape up the service specification, SLAs, and reporting.
Domain knowledge of Video streaming would be an added benefit.
Key Roles and Responsibilities:
Collaborate with various technical teams involved in the design and development of cross-platform client apps and propose an architecture and high-level design.
Understand new client feature requirements and propose document and lead the solution for implementing the feature
Collaborate with critical stakeholders to understand business needs, priorities, and the quality of services to be created or enhanced. Drive solution to be compliant with Target State Architecture.
Responsible for discovering and identifying any bottleneck gaps, design issues that may hinder the app’s performance, stability, impacting user experience, cycle time, or cost and resolve them early during the solution, design, and construction phase.
Drive standardization of platform components that can make up the building blocks from which DIRECTV will build applications and services. Ensure applications and services are leveraging building blocks whenever possible.
Consider the client app's non-functional requirements such as security, scalability, resiliency, and performance in all solutions. May define and design functional, technical, performance, and reliability solutions in line with client app inferred requirements.
This position is subject to the DIRECTV COVID-19 Vaccination Policy. Click here for additional information.
Our Principal Software Engineer can earn between $115,600 - $231,100. Not to mention all of the other amazing rewards that working at DIRECTV offers. From health insurance to tuition reimbursement and paid time off to discounts on products and services just to name a few. There is a lot to be excited about around here.
This is a remote position that can be located anywhere in the United States. #LI-Remote
Ready to join our team? Apply today!

Principal Functional Skills / Competencies associated with this title:
8+ years experience
Agile Methodology (Scrum)
Application Design, Architecture
Application Programming Interface (API)
Mobile App development
ReactNative development
Product and Service Design and Development
Programming Languages (Java, Objective C, Swift, JavaScript)
Quality Management
System and Technology Integration
System and Software Architecture
#virtual

Job Posting: May 25, 2022, 5:22:26 PM
Schedule: Full-time
Job Level: Senior Associate/Second Level Manager",https://www.monster.com/job-openings/principal-software-engineer-austin-tx--be07da24-1751-480d-9fd0-708ffede0fde?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.30&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"at directv, we’re connecting the world through the latest tech, top of the line communications and the best in entertainment. innovation powers all that we do, and our groundbreaking solutions deliver compelling communication and entertainment experiences to millions of customers worldwide. as part of our team, your next big idea could be our newest innovation. here’s your opportunity to combine your passions for entertainment, media and technology to transform our company and your career. responsible for the fundamental technology work of architecting/designing/building/supporting cross platform client apps, their integration to high performing backend services, including building platform and performance components, and awareness of the end to end solutions. makes high level design choices, technical standards, tools, and platforms. must have a strong understanding of systems engineering principles derived from experience. has strong background in application development  using native, c++, and javascript. good have design and implementation knowledge of react native based app development. with a strong background in the integration with restful back end services, can make design decisions that help shape up the service specification, slas, and reporting. domain knowledge of video streaming would be an added benefit. key roles and responsibilities: collaborate with various technical teams involved in the design and development of cross platform client apps and propose an architecture and high level design. understand new client feature requirements and propose document and lead the solution for implementing the feature collaborate with critical stakeholders to understand business needs, priorities, and the quality of services to be created or enhanced. drive solution to be compliant with target state architecture. responsible for discovering and identifying any bottleneck gaps, design issues that may hinder the app’s performance, stability, impacting user experience, cycle time, or cost and resolve them early during the solution, design, and construction phase. drive standardization of platform components that can make up the building blocks from which directv will build applications and services. ensure applications and services are leveraging building blocks whenever possible. consider the client app non functional requirements such as security, scalability, resiliency, and performance in all solutions. may define and design functional, technical, performance, and reliability solutions in line with client app inferred requirements. this position is subject to the directv covid 19 vaccination policy. click here for additional information. our principal software engineer can earn between $115,600   $231,100. not to mention all of the other amazing rewards that working at directv offers. from health insurance to tuition reimbursement and paid time off to discounts on products and services just to name a few. there is a lot to be excited about around here. this is a remote position that can be located anywhere in the united states. #li remote ready to join our team? apply today!  principal functional skills / competencies associated with this title: 8+ years experience agile methodology  application design, architecture application programming interface  mobile app development reactnative development product and service design and development programming languages  quality management system and technology integration system and software architecture #virtual  job posting: may 25, 2022, 5:22:26 pm schedule: full time job level: senior associate/second level manager","['$115,600', '$231,100']",[],[]
,macOS Developer - Onsite- Fulltime,3 days ago,05/23/2022,Veridic Solutions LLC,"Austin, TX",,$130000 - $150000 / Per Year,"Full-Time, Employee",,,"Position          : macOS developer
Location         : Austin, TX (on-site)
Job Description:
Should be 5+ years of experience in macOS development projects
Very Good hands on in Objective C is a must
Experience on SWIFT Language is a must
Experience in Appkit is a must
Strong on programming logic and problem-solving capability
Hands on Experience in strong programming(with coding guidelines), debugging, able to articulate their experience, able to create reusable code etc
Hands on experience in using GitHub
Experience working within an organizational code base in multiple environments across numerous ongoing release cycles
Ability to own and drive delivery in an independent manner",https://www.monster.com/job-openings/macos-developer-onsite-fulltime-austin-tx--20a2cbc2-3945-4edd-b132-e558ffac84bb?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.31&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"position          : macos developer location         : austin, tx  job description: should be 5+ years of experience in macos development projects very good hands on in objective c is a must experience on swift language is a must experience in appkit is a must strong on programming logic and problem solving capability hands on experience in strong programming, debugging, able to articulate their experience, able to create reusable code etc hands on experience in using github experience working within an organizational code base in multiple environments across numerous ongoing release cycles ability to own and drive delivery in an independent manner",[],[],[]
,Ada Software Engineer,3 days ago,05/23/2022,Webster & Webster Associates,"Remote, US",,,,,,"LOCATIONS: Providence, RI / Detroit, MI / Ann Arbor, MI / San Jose, CA / San Francisco, CA
LOCATION TYPE: Office/Work-from-Home Hybrid (require local candidates
JOB TYPE: Full-Time
 Seeking an outstanding developer with extensive Ada experience to improve existing software functionality, provide additional functionality and research and development support to our clients. This opportunity is with a great company and great people looking for outstanding candidates with Embedded programming life-cycle experience to join their team of professionals!
 Requirements
Extensive development experience using Ada
OO Design
Extensive knowledge of Embedded Systems
Real-world professional expertise in understanding complex Ada code
Unit and quality test experience
Ability to work independently
Aptitude to learn quickly
Ability to troubleshoot and resolve issues quickly
Bachelor's degree in Computer Science or related field of study
Duties
Develop software for real-time embedded systems
Work with software architects designing new functionality
Engage testing teams for design feature and release
Improve performance of existing code functionality
 Preferred Skills
GNAT
Apex Development Tools
Experience developing Safety Critical Applications for standards such as RTCA DO-178B, Def Stan. 0055, IEC 61508, EN 50128, FDA 510(k), and DOD 2167A
 JO-2109-934 #IND1
 ",https://www.monster.com/job-openings/ada-software-engineer-austin-tx--cce72086-3038-432b-b802-7fd3fbc3652b?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.32&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"locations: providence, ri / detroit, mi / ann arbor, mi / san jose, ca / san francisco, ca location type: office/work from home hybrid , and dod 2167ajo 2109 934 #ind1",[],[],[]
,iOS Developer,11 days ago,05/15/2022,eGrove Systems Corporation,"Austin, TX",,,"Temporary, Contractor, Full-Time",,,"JOB DESCRIPTION
Key Qualification:
Very strong in iOS development
Hands on experience building the apps using Swift and Objective C
Experience in engineering highly scalable, reliable and distributed systems.
Application development and design experience using object-oriented methodologies
Experience with Jenkins, Maven and version control systems such as Git
Experience on Payment domains and/or payment app development is an added advantage
About eGrove:
eGrove Systems is a high profiled IT solution provider to a wide clientele across the country. Our Solutions include e-commerce customization, mobile app development, digital marketing and website optimization. We are always on the lookout for right talents to join our team. You can visit our website (https://www.egrovesys.com) for more details about our company.

“An Equal Opportunity/Affirmative Action Employer/Minority/Female/ADA/Veterans Employer""",https://www.monster.com/job-openings/ios-developer-austin-tx--4b9f1c52-4680-4c45-9a90-b1f877ba9abe?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.33&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"job description key qualification: very strong in ios development hands on experience building the apps using swift and objective c experience in engineering highly scalable, reliable and distributed systems. application development and design experience using object oriented methodologies experience with jenkins, maven and version control systems such as git experience on payment domains and/or payment app development is an added advantage about egrove: egrove systems is a high profiled it solution provider to a wide clientele across the country. our solutions include e commerce customization, mobile app development, digital marketing and website optimization. we are always on the lookout for right talents to join our team. you can visit our website  for more details about our company.  “an equal opportunity/affirmative action employer/minority/female/ada/veterans employer",[],[],"['job description key qualification: very strong in ios development hands on experience building the apps using swift and objective c experience in engineering highly scalable, reliable and distributed systems.']"
,React JS Full Stack Developer (Remote),7 days ago,05/19/2022,Sunnova,"Remote, US",,,"Full-Time, Employee",,,"Sunnova Energy is searching for a React JS Full Stack Developer to be responsible for designing, building, and enhancing Sunnova’s Sales applications using React JS. The successful candidate will write code (predominately in React JS and UI technologies). This individual contributor will collaborate closely with leaders, product managers, user experience experts, and other technical colleagues to design and build the next generation of the sales platform for Sunnova.
 Benefits
Sunnova offers a generous employee reward package that includes:
Comprehensive benefits, including medical, dental, vision, life insurance, healthcare flexible spending account, and 401(k) with employer match.
Competitive compensation & annual bonus
Paid time off, including 10 holidays and Paid Parental Leave
Cell phone allowance for many roles
Free access to an on-site fitness center in Houston and/or discounted fitness memberships through health provider
Complimentary garage parking in Houston
 React JS Full Stack Developer Responsibilities
Develops, enhances, and maintains custom software applications and integrations with internal data sources, third-party applications, and other services to support Sunnova’s mobile application development strategy
Works in all phases of the software development life cycle including functional analysis, development of technical requirements, technical design, prototyping, coding, testing, deployment, data migration, and support
Takes ownership of problems and issues, proactively works with business stakeholders, product management, business analysts, quality assurance, and release management
Find, analyze, and fixe bugs and performance problems whenever and wherever they may occur
Organizes and prioritizes individual workload with the scrum team to meet required deadlines
Participates in daily stand-ups, works with scrum team on projects, and supports delivery timelines and priorities
Works effectively in a matrixed environment where 1) day-to-day tasks are determined and executed on the agile/scrum team under the leadership of a scrum master and 2) career development, coaching, goal setting, performance evaluations, and issue escalation are coordinated through a separate manager
 Minimum Requirements
Bachelor's degree or equivalent, preferably in computer science, software engineering, or information systems
4+ years of software development experience
Expert in multiple programming languages, React JS, TypeScript
Experience in C# is good to have.
Experience with coding and interacting with RESTFUL APIs
 Sunnova is a different kind of Power Company, offering solar and storage services to homeowners within the United States and its territories through our network of local solar dealers and solar standard community homebuilders. Our mission is powering energy independence TM and changing the energy industry. At Sunnova, we believe in achieving more by working together; our diverse workforce allows an inclusive and innovative culture to power our long-term growth. Our people focus on thinking beyond traditional limits – and to do that, we need the creativity and energy of every person. Come be a part of the fastest-growing segment of the energy industry! The React JS Full Stack Developer Position
 We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.
If you are selected for a position, your employment will be contingent upon submission to and successful completion of a post-offer/pre-placement drug test (and medical examination if required by the role) as well as pre-placement verification of the information and qualifications provided during the selection process.",https://www.monster.com/job-openings/react-js-full-stack-developer-remote-austin-tx--a16b32c8-dfc1-4711-89b8-820a6f942773?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.34&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"sunnova energy is searching for a react js full stack developer to be responsible for designing, building, and enhancing sunnova’s sales applications using react js. the successful candidate will write code . this individual contributor will collaborate closely with leaders, product managers, user experience experts, and other technical colleagues to design and build the next generation of the sales platform for sunnova.benefits sunnova offers a generous employee reward package that includes: comprehensive benefits, including medical, dental, vision, life insurance, healthcare flexible spending account, and 401 with employer match. competitive compensation & annual bonus paid time off, including 10 holidays and paid parental leave cell phone allowance for many roles free access to an on site fitness center in houston and/or discounted fitness memberships through health provider complimentary garage parking in houstonreact js full stack developer responsibilities develops, enhances, and maintains custom software applications and integrations with internal data sources, third party applications, and other services to support sunnova’s mobile application development strategy works in all phases of the software development life cycle including functional analysis, development of technical requirements, technical design, prototyping, coding, testing, deployment, data migration, and support takes ownership of problems and issues, proactively works with business stakeholders, product management, business analysts, quality assurance, and release management find, analyze, and fixe bugs and performance problems whenever and wherever they may occur organizes and prioritizes individual workload with the scrum team to meet required deadlines participates in daily stand ups, works with scrum team on projects, and supports delivery timelines and priorities works effectively in a matrixed environment where 1) day to day tasks are determined and executed on the agile/scrum team under the leadership of a scrum master and 2) career development, coaching, goal setting, performance evaluations, and issue escalation are coordinated through a separate managerminimum requirements bachelor degree or equivalent, preferably in computer science, software engineering, or information systems 4+ years of software development experience expert in multiple programming languages, react js, typescript experience in c# is good to have. experience with coding and interacting with restful apissunnova is a different kind of power company, offering solar and storage services to homeowners within the united states and its territories through our network of local solar dealers and solar standard community homebuilders. our mission is powering energy independence tm and changing the energy industry. at sunnova, we believe in achieving more by working together; our diverse workforce allows an inclusive and innovative culture to power our long term growth. our people focus on thinking beyond traditional limits – and to do that, we need the creativity and energy of every person. come be a part of the fastest growing segment of the energy industry! the react js full stack developer positionwe are an equal employment opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law. if you are selected for a position, your employment will be contingent upon submission to and successful completion of a post offer/pre placement drug test  as well as pre placement verification of the information and qualifications provided during the selection process.",[],"[' competitive compensation & annual bonus paid time off, including 10 holidays and paid parental leave cell phone allowance for many roles free access to an on site fitness center in houston and/or discounted fitness memberships through health provider complimentary garage parking in houstonreact js full stack developer responsibilities develops, enhances, and maintains custom software applications and integrations with internal data sources, third party applications, and other services to support sunnova’s mobile application development strategy works in all phases of the software development life cycle including functional analysis, development of technical requirements, technical design, prototyping, coding, testing, deployment, data migration, and support takes ownership of problems and issues, proactively works with business stakeholders, product management, business analysts, quality assurance, and release management find, analyze, and fixe bugs and performance problems whenever and wherever they may occur organizes and prioritizes individual workload with the scrum team to meet required deadlines participates in daily stand ups, works with scrum team on projects, and supports delivery timelines and priorities works effectively in a matrixed environment where 1) day to day tasks are determined and executed on the agile/scrum team under the leadership of a scrum master and 2) career development, coaching, goal setting, performance evaluations, and issue escalation are coordinated through a separate managerminimum requirements bachelor degree or equivalent, preferably in computer science, software engineering, or information systems 4+ years of software development experience expert in multiple programming languages, react js, typescript experience in c# is good to have.']","[' if you are selected for a position, your employment will be contingent upon submission to and successful completion of a post offer/pre placement drug test  as well as pre placement verification of the information and qualifications provided during the selection process.']"
,PL / SQL Developer,10 days ago,05/16/2022,Cognizant,"Austin, TX",,,"Full-Time, Employee",,,,https://www.monster.com/job-openings/pl-sql-developer-austin-tx--c0fee41f-8240-4ca4-828a-62db53f2bd17?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.35&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Sr. Integration Engineer,9 days ago,05/17/2022,Genesis10,"Cedar Park, TX",,,"Temporary, Contractor, Full-Time",,,,https://www.monster.com/job-openings/sr-integration-engineer-cedar-park-tx--f9c19638-f4d3-49f1-9f17-15f8e7783d3f?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.36&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Senior Software Engineers,3 days ago,05/23/2022,ABBTECH Professional Resources,"Remote, US",,,"Full-Time, Employee",,,,https://www.monster.com/job-openings/senior-software-engineers-austin-tx--fb1dcb9e-86e8-4e88-a1f1-4edec996d66b?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.38&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Senior Test Engineers,3 days ago,05/23/2022,ABBTECH Consulting,"Austin, TX",,,"Full-Time, Employee",,,,https://www.monster.com/job-openings/senior-test-engineers-austin-tx--07b06646-c12e-4498-a653-764bb9fc40f0?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.39&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Talend Developer,10 days ago,05/16/2022,CDI Solutions,"Remote, US",,,"Full-Time, Employee",,,"Talend Developer
Initial Remote / Austin, TX
Project Role Description : Design, build and configure applications to meet business process and application requirements.
Work Experience : 6-8 years
Skills:
Candidate should have hands-on development and architecture design experience with Talend.
Experience with Talend Data Integration using ESB
Hands-on experience in core java and RESTFUL services.
Hands-on experience in designing and creating jobs , routes
Experience in Orchestration of Talend jobs
Experience in SOAP/REST web services implementation in Talend
Should possess hands on experience in Design, Development and CI/CD release.
Experience in developing transformations with different file formats like Positional, JSON, XML, CSV, Flat-file
Experience in working with Database components in Talend like Oracle, MySQL etc.
Knowledge of various normalization techniques, Joins, Indexes
Knowledge of source code repositories like svn, git etc",https://www.monster.com/job-openings/talend-developer-austin-tx--a2e43b8e-a7da-470b-b161-d645c02029b6?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.40&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"talend developer initial remote / austin, tx project role description : design, build and configure applications to meet business process and application requirements. work experience : 6 8 years skills: candidate should have hands on development and architecture design experience with talend. experience with talend data integration using esb hands on experience in core java and restful services. hands on experience in designing and creating jobs , routes experience in orchestration of talend jobs experience in soap/rest web services implementation in talend should possess hands on experience in design, development and ci/cd release. experience in developing transformations with different file formats like positional, json, xml, csv, flat file experience in working with database components in talend like oracle, mysql etc. knowledge of various normalization techniques, joins, indexes knowledge of source code repositories like svn, git etc",[],[],[]
,QA Test Engineer,4 days ago,05/22/2022,Eliassen Group,"Austin, TX",,,"Full-Time, Employee",,,,https://www.monster.com/job-openings/qa-test-engineer-austin-tx--7f1dc903-1d9e-42f5-a0aa-6dd13b1ba883?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.41&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Senior Software Engineers,3 days ago,05/23/2022,ABBTECH Consulting,"Austin, TX",,,"Full-Time, Employee",,,,https://www.monster.com/job-openings/senior-software-engineers-austin-tx--5308b4f6-8478-455f-ab0c-ccb424f5e3dd?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.44&_ga=2.59503533.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
